Card_Id(PC),CARD_OUTPUT_Name,C_Type,Element,Tier,Rare,Effect_Type,E_Coeffici,C_Coeffici,Calculation,Debuff_Type,Debuff_Stack,Buff_Type,Buff_Stack,Enhanceable,Enhance_Count,Target,Card_Description,CARD_INSIDE_NAME,,,,,카드 컨셉(주석용),(속성계수 * 카드계수 * 주사위)
0114,LSE1,Support,Land,tier1,Climax,Shield,3,0.3,3 * 0.3 * N,None,0,Guard,2,Yes,3,Self,1~5의 보호막을 얻습니다. 수호 2. 강화 3.,CARD_SUPPORT_LAND_EPIC_1,,,,,,
0115,LSE1+,Support,Land,tier2,Climax,Shield,3,0.4,3 * 0.4 * N,None,0,Guard,3,Yes,4,Self,1~7의 보호막을 얻습니다. 수호 3. 강화 4.,CARD_SUPPORT_LAND_EPIC_2,,,,,3회복 2벞,
0116,LSE1++,Support,Land,tier3,Finale,Shield,3,0.5,3 * 0.5 * N,None,0,Guard,4,No,None,Self,2~9의 보호막을 얻습니다.수호 4.,CARD_SUPPORT_LAND_EPIC_3,,,,,,
0117,땅 방어 강화 카드,Support,Land,tier1,Opening,Heal,3,0.3,3 * 0.3 * N,None,0,Guard,0,Yes,2,Self,1~5의 체력을 회복합니다. 강화 2.,CARD_SUPPORT_LAND_MAIN_1,,,,,,
0118,땅 방어 강화 카드+,Support,Land,tier2,Rising,Heal,3,0.4,3 * 0.4 * N,None,0,Guard,2,Yes,3,Self,1~7의 체력을 회복합니다. 수호 2. 강화 3,CARD_SUPPORT_LAND_MAIN_2,,,,,5보호막 3벞,
0119,땅 방어 강화 카드++,Support,Land,tier3,Climax,Heal,3,0.5,3 * 0.5 * N,None,0,Guard,4,Yes,4,Self,2~9의 체력을 회복합니다. 수호 4. 강화 4.,CARD_SUPPORT_LAND_MAIN_3,,,,,,
0120,땅 방어 강화 카드+++,Support,Land,tier4,Finale,Heal,3,0.6,3 * 0.6 * N,None,0,Guard,6,No,None,Self,2~11의 체력을 회복합니다. 수호 6.,CARD_SUPPORT_LAND_MAIN_4,,,,,,
0121,SP1,Special,None,tier1,Opening,Special,0,0,0,None,0,None,0,No,None,Self,디버프 모두 제거,CARD_SPECIAL_NOMAL_1,,,,,,
0122,SP2,Special,None,tier1,Opening,Special,0,0,0,None,0,None,0,No,None,Self,다음턴 사용하는 주사위 2배,CARD_SPECIAL_NOMAL_2,,,,,,
0123,SP3,Special,None,tier1,Opening,Special,0,0,0,None,0,None,0,No,None,Self,다음턴 사용하는 주사위 +3,CARD_SPECIAL_NOMAL_3,,,,,,
0124,SP4,Special,None,tier1,Rising,Special,0,0,0,None,0,None,0,No,None,,,CARD_SPECIAL_RARE_1,,,,,,
0125,SP5,Special,None,tier1,Rising,Special,0,0,0,None,0,None,0,No,None,,,CARD_SPECIAL_RARE_2,,,,,,
0126,SP6,Special,None,tier1,Rising,Special,0,0,0,None,0,None,0,No,None,,,CARD_SPECIAL_RARE_3,,,,,,
0127,SP7,Special,None,tier1,Climax,Special,0,0,0,None,0,None,0,No,None,,,CARD_SPECIAL_EPIC_1,,,,,,
0128,SP8,Special,None,tier1,Climax,Special,0,0,0,None,0,None,0,No,None,,,CARD_SPECIAL_EPIC_2,,,,,,
0129,SP9,Special,None,tier1,Climax,Special,0,0,0,None,0,None,0,No,None,,,CARD_SPECIAL_EPIC_3,,,,,,
0130,SP10,Special,None,tier1,Climax,Special,0,0,0,None,0,None,0,No,None,,,CARD_SPECIAL_EPIC_4,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,
